┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━flame_1785━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                                                                                                                 ┃
┃                                                                               ###  ##                                                                           ┃
┃                                                                      #  ################                                                                        ┃
┃                                                                    ######################                                                                       ┃
┃                                                                   #########################                                                                     ┃
┃                                                                   #########################                                                                     ┃
┃                                                                    #########################                                                                    ┃
┃                                                                    #########################                                                                    ┃
┃                                                                    #########################                                                                    ┃
┃                                                                    #########################                                                                    ┃
┃                                                                     ########################                                                                    ┃
┃                                                                      ########################                                                                   ┃
┃                                                                       ################### ##                                                                    ┃
┃                                                                       #### #############                                                                        ┃
┃                                                           ##           ##   ##########                                                                          ┃
┃                                                        ############# #######################                                                                    ┃
┃                                                    ############################################                                                                 ┃
┃                                                 #################################################                                                               ┃
┃                                                ###################################################                                                              ┃
┃                                                 ###################################################                                                             ┃
┃                                                         ############################################                                                            ┃
┃                                                                 ###################################                                                             ┃
┃                                                                  #################################                                                              ┃
┃                                                                       ############################                                                              ┃
┃                                                                       ############################                                                              ┃
┃                                                                       ############################                                                              ┃
┃                                                                       ############################                                                              ┃
┃                                                                  #################################                                                              ┃
┃                                                                  ###############################                                                                ┃
┃                                                                   #################################                                                             ┃
┃                                                                   ###################################                                                           ┃
┃                                                                    #################################                                                            ┃
┃                                                                    ##############################                                                               ┃
┃                                                                   #############################                                                                 ┃
┃                                                                   ############################                                                                  ┃
┃                                                                  ############################                                                                   ┃
┃                                                                 ############################                                                                    ┃
┃                                                                ##############################                                                                   ┃
┃                                                                ###############################                                                                  ┃
┃                                                               #################################                                                                 ┃
┃                                                              ##################################                                                                 ┃
┃                                                              ###################################                                                                ┃
┃                                                             #####################################                                                               ┃
┃                                                            #######################################                                                              ┃
┃                                                           #########################################                                                             ┃
┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛
